国家,汇总,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30
吉布提,1077,30,40,49,50,59,90,90,135,140,150,187,214,298,363,363,591,732,732,732,846,846,974,986,999,1008,1023,1023,1035,1077,1077
突尼斯,980,394,423,455,495,553,574,596,623,628,643,671,685,707,726,747,780,822,864,866,879,884,901,909,918,922,939,949,967,975,980
塞内加尔,933,190,195,207,219,222,226,237,244,250,265,278,280,291,299,314,335,342,350,350,377,412,442,479,545,614,671,736,823,882,933
拉脱维亚,858,446,458,493,509,533,542,548,577,589,612,612,630,655,657,666,675,682,712,727,739,748,761,778,784,804,812,818,836,849,858
塞浦路斯,843,262,320,356,396,426,446,465,494,526,564,595,616,633,662,695,715,735,750,761,767,772,784,790,795,804,810,817,822,837,843
阿尔巴尼亚,773,259,277,304,333,361,377,383,400,409,416,433,446,467,475,494,518,539,548,562,584,609,634,663,678,712,726,726,750,766,773
洪都拉斯,771,172,219,222,264,268,298,305,312,343,382,392,393,397,407,419,426,442,457,472,477,494,510,519,562,591,627,661,702,738,771
吉尔吉斯斯坦,746,111,116,130,144,147,216,228,270,280,298,339,377,419,430,449,466,489,506,554,568,590,612,631,656,665,682,695,708,729,746
安道尔,743,376,428,439,466,501,526,545,564,583,601,622,638,646,659,673,673,696,704,704,713,717,717,723,723,731,738,740,743,743,743
黎巴嫩,721,479,494,508,520,527,541,548,575,582,609,619,630,632,641,658,663,668,672,673,677,677,682,688,696,704,707,710,717,721,721
尼日尔,713,34,74,98,120,144,184,253,278,342,410,438,491,529,548,570,584,609,627,639,648,655,657,662,671,681,684,696,701,709,713
